lag,R2,coef,p-value
0,0.5682879062471271,0.0004975434429449266,2.894313086526194e-23
1,0.5660023698825838,0.0004957723362694177,6.036219015503492e-23
2,0.5392524808797887,0.0004840685367309236,3.024423736370972e-21
3,0.487154304351025,0.00046041255838322816,2.22446122761068e-18
4,0.4152734008493607,0.0004257398820516628,5.950553717336414e-15
5,0.32476846309537954,0.00037719299854544055,2.986763677527932e-11
6,0.1674437210221339,0.0002755819075266079,6.170806503868816e-06
7,0.05052584954509487,0.00015424591437292645,0.016684500299462366
8,0.004370617877076266,4.584317265367665e-05,0.48858662118311447
9,0.011465262947639276,-7.50757315071492e-05,0.263326055552271
